;text
182;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/DUM30Mlf2i"
183;tudo culpa do bolsonaro
184;"@RequiaoFilho @requiaopmdb Somos TODOS BOLSONARO presidiário

Somos TODOS Lula presidente 🇧🇷🇧🇷🇧🇷🇧🇷"
185;@MaristerraLemes @marioadolfo vdd, não vamos politizar nada. Nada é política, inclusive o Bolsonaro acabou com o Mi… https://t.co/2BQjlqyF8N
186;@Evandro72591246 @LuizANCarvalho Mas foi o Bolsonaro que manteve a política de
187;Quem gosta da camiseta amarela da seleção, mas não gosta do Bolsonaro, faz o que para não ser confundindo com um retardado?
188;Aí um corno desses fez campanha para: BOLSONARO, bicho! Te fudê! https://t.co/nXn198TgiL
189;@FernandoHoliday Bolsonaro é o Lula 🦑 tudo isso está me fazendo lembrar daqueles vilões impostores do scooby doo. A… https://t.co/2CB7iWd9YY
190;@VanessaPoteGiu @Janaina3B @Rconstantino Bate uma pro Bolsonaro que acalma👍
191;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/THkEe1AO0x"
192;O governo Bolsonaro acabou, e quem governa agora o Brasil é o centrão. O país foi arrendado.
193;@juhIiav @relicsobrien galera tamo aqui na manifestação aqui ces pode ver oh 6 gato pingado ai oh so pra falar que… https://t.co/nCek6xubli
194;"Meus alunos de 9 e 10 anos hoje:
— teacher, você é bolsonarista?
Eu: 
— Ui, não!
Ele para outra aluna:
 — E você?
E… https://t.co/KRLKmIeMml"
195;Hino oficial do novo partido de Bolsonaro. https://t.co/W8ZYoa08fu
196;Se há algo que discordo frontalmente, é equiparar políticos a Jesus. Tipo estão fazendo com Bolsonaro e Lula. Sinto… https://t.co/1GESWIOAVQ
197;@VEJA Bolsonaro já e um terror e vem o Ciro tocar mais? Misericórdia!
198;“Além do dirigismo cultural, o governo opera um aumento na burocracia. Toda inauguração de uma obra financiada por… https://t.co/zNgSgwL4XF
199;@Rconstantino Bolsonaro 2022 https://t.co/niqDlf7xQt
